true_value,predicted_value,residual,pred_run_1,pred_run_2,pred_run_3
15.786499977111816,15.764966221228425,0.021533755883391237,15.787457892485195,15.71561131106879,15.791829460131288
15.566499710083008,15.688760439872539,-0.12226072978953084,15.707752042762356,15.66603082818694,15.692498448668319
15.566499710083008,15.547621089901694,0.018878620181313366,15.539668883569576,15.560773009709042,15.542421376426464
15.566499710083008,15.478978497480881,0.08752121260212675,15.467856178322025,15.477729766658072,15.491349547462551
15.566499710083008,15.504945326122693,0.06155438396031521,15.49796345598139,15.472054751577886,15.544817770808796
15.786499977111816,15.504207987868712,0.28229198924310417,15.500798295142026,15.481004753262736,15.530820915201375
16.225500106811527,15.685760782578527,0.5397393242330004,15.68942692491784,15.658348911638184,15.709506511179555
16.88450050354004,16.161330637508357,0.7231698660316823,16.19675771649882,16.16494492761649,16.122289268409755
17.544000625610348,17.114475310810324,0.4295253148000242,17.20640350063583,17.12315397096809,17.01386846082705
18.202999114990234,17.819672995751564,0.38332611923867077,17.893719287520604,17.76758316492407,17.797716534810025
18.862499237060547,18.7726528170945,0.08984641996604736,18.861547765713613,18.74231147718154,18.714099208388344
19.521499633789062,19.49514108684967,0.02635854693939166,19.52638425216035,19.384170434335566,19.574868574053102
20.40049934387207,20.285580058013988,0.11491928585808253,20.28322550236984,20.27378827705137,20.299726394620752
21.27949905395508,21.00368028139583,0.27581877255925136,20.99708680549373,20.93445835220795,21.07949568648581
21.938499450683597,21.940664455186436,-0.002165004502838741,21.942472233552618,21.926393323533766,21.95312780847292
23.256500244140625,22.675283828022867,0.5812164161177584,22.62293192068862,22.682087747572247,22.720831815807724
24.135499954223643,23.841551171265746,0.29394878295789795,23.77961465746744,23.85550240779485,23.889536448534944
25.454500198364247,24.815316655826468,0.6391835425377792,24.82027111247601,24.75427194117344,24.871406913829958
26.33300018310547,26.097445921964436,0.23555426114103284,26.09098864974919,26.068493632373624,26.132855483770506
26.99250030517578,27.073011925064197,-0.08051161988841571,27.086342109461395,27.023420110187804,27.1092735555434
27.87150001525879,27.652189865017036,0.21931015024175338,27.62594859745619,27.657427851056894,27.67319314653803
28.530500411987305,28.551746987345226,-0.02124657535792096,28.54149775509436,28.609500718339348,28.504242488601975
29.18950080871582,29.270951526515148,-0.08145071779932778,29.292834902811038,29.269248240995406,29.250771435738994
29.848499298095703,29.86103570762491,-0.01253640952920776,29.89755743305627,29.87810084133112,29.80744884848734
30.507999420166016,30.389262804493075,0.11873661567294036,30.42158261870734,30.321858225144375,30.42434756962751
31.16699981689453,31.11152985216516,0.05546996472937238,31.17389228510163,31.101595658167852,31.059101613225994
31.16699981689453,31.659148197112046,-0.4921483802175146,31.73152977861322,31.60837323978073,31.63754157294219
31.826499938964844,31.653216374613198,0.17328356435164594,31.690409809214646,31.70399465080193,31.565244663823016
32.48550033569336,32.245032117161,0.24046821853235656,32.303375543610095,32.249981697382935,32.181739110489985
32.705001831054695,32.865749787328944,-0.16074795627424976,32.88727092375527,32.94418307876276,32.7657953594688
33.583999633789055,33.15463156951603,0.429368064273028,33.21283509058137,33.16009205034719,33.09096756761951
34.24349975585937,33.77481660295539,0.4686831529039779,33.59194861404311,33.945480242970554,33.787020951852504
35.12200164794922,34.38407726471125,0.7379243832379672,34.26860287913122,34.46641296719422,34.417215947808316
35.34199905395508,35.099060122937935,0.24293893101714303,35.0111735900397,35.10130327174467,35.18470350702943
35.561500549316406,35.567285579981224,-0.005785030664817725,35.46329853309096,35.633014713469805,35.60554349338292
36.000999450683594,35.739400004943725,0.2615994457398685,35.67219226929512,35.73959503054758,35.80641271498849
36.000999450683594,35.937925132785686,0.0630743178979074,36.02834296009121,35.86069814485167,35.924734293414176
36.000999450683594,35.90059991848728,0.10039953219631315,35.895446328690646,35.8724816695573,35.9338717572139
35.561500549316406,35.81701928674584,-0.25551873742943343,35.80133828478287,35.780822741594775,35.868896833859864
34.90200042724609,35.29353375843113,-0.39153333118504463,35.19384167564779,35.36355079031178,35.323208809333835
34.462501525878906,34.515197436970844,-0.05269591109193783,34.49577938742786,34.54434669262679,34.50546623085788
33.804000854492195,34.134919989816986,-0.3309191353247911,34.08418987594952,34.20898444894057,34.11158564456088
33.363998413085945,33.50088327189379,-0.1368848588078464,33.43059314962631,33.62521514677884,33.44684151927621
32.705001831054695,32.718216494207404,-0.01321466315270925,32.74905917476307,32.69099149374573,32.7145988141134
